question_id,question,opa,opb,opc,opd,ans
43,A 55-year-old man presents with a solitary breast mass and biopsy reveals malignant cells. Immunohistochemical staining experiments show that the tumor cells are positive for HER2/neu and cytokeratins 4 and 11 and negative for estrogen receptors. Which of the following is thought to play a role in the development of cancer in the patient?,BRCA2 mutation,Chronic alcoholism,Gynecomastia,Hyperestrinism,0
44,A patient is having deficiency of Von Willebrand factor. Which of the following abnormalities are seen in this patient?,"Increased PTT, increased PT","Decreased PT, Increased PTT","Normal PT , Normal PTT",Normal PT & Increased PTT,2
45,Hemophilia is associated with-,X chromosome,Y chromosome,Chromosome 3,Chromosome 16,0
46,Pautriers microabscess is seen in -,Psoriasis,Mycosis fungoides,Lichen planus,Leprosy,1
47,Pericyte formation occur in -,Kaposi sarcoma,Glomus tumor,Hemangiopericytoma,Myopericytoma,2
48,"In apoptosis, cytochrome C acts through:",Apaf 1,Bcl-2,FADD,TNF,0
49,Which of the following markers is specific for gastro-intestinal stromal tumor (GIST) -,CD117,CD34,CD23,S-100,0
50,"Extreme fragility and fracture of the bones, blue sclera, brownish or yellow teeth with translucent or opalescent hue. Given features are suggestive of:",Rickets,Osteogenesis imperfecta,Osteopetrosis,Marfan syndrome,1
51,Which is not a tumour marker -,Carcinoembryonic antigen (CEA),Human Chorionic Gonadotropin (hCG),β2Microglobulin,α Fetoprotein (AFP),2
52,SLE is which type of hypersensitivity reaction: March 2005,Type I hypersensitivity,Type II hypersensitivity,Type III hypersensitivity,Type IV hypersensitivity,2
53,Which of the following is not a poor prognostic factor in neuroblastoma?,MYCN amplification,High mitosis-karyorrhexis index,Evidence of gangliocytic differentiation,Mutations of neuritogenesis genes,2
54,PAN is associated with,Hepatitis A,Hepatitis B,Hepatitis C,Hepatitis E,1
55,Storage form of iron:,Transferrin,Ferritin,Hepcidin,Ferroportin,1
56,Concentric hyperophy of hea is associated ?,Systemic Hypeension,Mitral regurgitaion,Hyperophic cardiomyopathy,Mitral stensis,0
57,Which of the following therapy is known to stimulate progenitor megakaryocytes and used in Rx of Cancer Chemotherapy-Induced Thrombocytopenia?,IL-2,IL-6,IL-8,IL-11,3
58,"A 4 years old child presents with rash on lower limbs, arthritis, and abdominal pain. Urine examination reveals microscopic hematuria. The most likely diagnosis is:",Thrombaesthenia,Idiopathic thrombocytopenic purpura,Systemic lupus erythematosus,Henoch Schonlein purpura,3
59,Metastatic calcification of the gastrointestinal tract commonly affects the mucosa of:,Stomach,Esophagus,Ileum,Rectum,0
60,Normal adult haemoglobin contains,One alpha chain and one beta chain,One alpha chains and two beta chains,One beta chains and two alpha chains,Two alpha chains and two beta chains,3
61,Amyloidosis is commonly associated with:,Chronic osteomyelitis,Periostitis,Acute osteomyelitis,Multiple myeloma,3
62,Most common gene associated with pancreatic cancer,KRAS,SMAD,P53,Rb,0
63,Memory T cells can be identified by using the following marker:,CD45RA,CD45RB,CD45RC,CD45RO,3
64,"A 26-year-old woman has episodic hypeension with headache, diaphoresis, and palpitation. Which of the following diagnostic procedures would be most useful in evaluating the possibility that pheochromocytoma might be the cause of these findings?",Serum C-peptide,Serum calcitonin,Urinary vanillylmandelic acid,Urinary aldosterone,2
65,Low serum haptoglobin in hemolysis is masked by,Pregnancy,Liver disease,Bile duct obstruction,Malnutrition,2
66,Alosetron is,5HT1 receptor antagonist,5HT2 receptor antagonist,5HT3 receptor antagonist,Analogues of somatostatin,2
67,TNF is secreted by activated:,Macrophages,Neutrophils,Lymphocytes,Eosinophils,0
68,In Non-Hodgkin's lymphoma early involvement of bone marrow is typical of which variety -,Diffuse,Nodular,Lymphocytic well differentiated,Lymphocytic poorly differentiated,1
69,"A  peripheral  smear  with  increased  neutrophils, basophils,  eosinophils,  and  platelets  is  highly suggestive of",Acute myeloid leukemia,Acute lymphoblastic leukemia,Chronic myelogenous leukemia,Myelodysplastic syndrome,2
70,"A full term neonate rapidly develops progressive respiratory distress shortly after birth, lung biopsy done post-mortem reveals the following, what is your diagnosis?",Pulmonary hemorrhage,Pulmonary alveolar proteinosis,Pneumonia,Pulmonary edema,1
71,Rokitansky protuberances are seen in -,Mucinous carcinoma,Teratoma,Epidermal cystoids adenoma,Papillary carcinoma,1
72,Sezary syndrome is included in category of -,T cell leukaemia,Lymphoma,B cell leukaemia,Pigmented disorder of skin,0
73,Auer rods are seen in:,Acute myeloid leukemia.,Chronic myeloid leukemia.,Iron deficiency anaemia,Hodgkin’s disease.,0
74,Which of the following is an example of a directly acting toxin?,Acetaminophen,Mercuric chloride,Carbon tetrachloride,Bromobenzene,1
75,Pattern in peripheral smear in iron deficiency anemia ?,Normocytic normochromic,Hypochromic normocytic,Hypochromic microcytic,Normochromic microcytic,2
76,Which of the following Orofacial pain is not associated with vascular origin?,Cluster headache,Giant cell arteritis,Anaesthesia dolorosa,Chronic paroxysmal hemicrania,2
77,Hemophilia is associated with:,Normal bleeding time normal clotting time,Normal bleeding time prolonged clotting time,Prolonged bleeding time normal clotting time,Prolonged bleeding time prolonged clotting time,1
78,"It is a temperomandibular joint dysfunction with tinnitus, otalgia, headache,dizziness, burning tongue and throat:",Kostmann syndrome.,Costen syndrome.,Marfan syndrome.,Apert syndrome,1
79,Post MI day 10 which enzyme is raised ?,LDH,CPK,Troponin,Myoglobin,0
80,In multiple myeloma there is proliferation of -,Plasma cells,Basophils,Eosinophils,Neutrophils,0
81,The most common variety of soft tissue sarcoma is:,Rhabdomyosarcoma,Liposarcoma,Malignant fibrous histiocytoma,Synovial sarcoma,2
82,Origin of cancer cells in Krukenberg tumour is from:March 2013,Ovarian carcinoma,Gastric carcinoma,Duodenal carcinoma,Pancreatic carcinoma,1
83,"A 46-year-old woman has had worsening malaise for the past 36 hours. Her urine output is markedly diminished, and it has a cloudy brown appearance. On examination, she has periorbital edema. Laboratory findings include serum creatinine of 2.8 mg/dL and urea nitrogen of 30 mg/dL. A renal biopsy is performed and on microscopic examination shows focal necrosis in glomeruli with glomerular basement membrane breaks and crescent formation. No immune deposits are identified with immunofluorescence. Which of the following autoantibodies is most likely detectable in her serum?",Anti-DNA topoisomerase antibody,Anti-glomerular basement membrane antibody,Anti-neutrophil cytoplasmic autoantibody,Antinuclear antibody,2
84,Bullae formation after striking an intact skin/mucosal surface is known as:,Tine's sign,Bablnski's sign,Nikolsky's sign,Chovstek's sign,2
85,An undifferentiated malignant tumour on immunohistochemical stain shows cytoplasmic positivity of most of the tumor cells for cytokeratin. The most probable tumor is:,Sarcoma,Lymphoma,Carcinoma,Malignant Melanoma,2
86,Which of the following germ cell tumor is malignant ?,Leydig cell tumor,Seoli cell tumor,Seminoma,Dermoid cyst,2
87,Most common site for colon cancer is -,Caecum,Transversecolon,Rectosiigmoid,Ascendingcolon,2
88,Liquefaction foci of Miller is a histopathoLogical observation in,Cemental caries,Early enamel caries,c)	Advanced enamel caries,d)	Advanced dentinal caries,3
89,Colonic Polyp that has maximum chance of malignant change?,Hyperplastic polyp,Adenomatous polyp,Juvenile polyp,Polyp of Peutzeger syndrome,1
90,Activities of daily living to MR child can be taught by,Self instruction,Cognitive therapy,Contingency management,Cognitive remediation,2
91,A patient has been hospitalized with pneumonia and is about to be discharged. A nurse provides discharge instructions to a patient and his family. Which misunderstanding by the family indicates the need for more detailed information?,The patient may resume normal home activities as tolerated but should avoid physical exertion and get adequate rest.,"The patient should resume a normal diet with emphasis on nutritious, healthy foods.",The patient may discontinue the prescribed course of oral antibiotics once the symptoms have completely resolved.,The patient should continue use of the incentive spirometer to keep airways open and free of secretions.,2
92,Characteristic feature of apoptosis on light microscopy is ?,Cellular swelling,Nuclear compaction,Intact cell membrane,Cytoplasmic eosinophilia,2
93,The following syndrome is associated with bronchiectasis -,Kalmann's syndrome,Kaagener's syndrome,Kostmann's syndrome,Klinefelter syndrome,1
94,Low grade Central Nervous System tumour among the following is,Diffuse astrocytoma,Anaplastic astrocytoma,Glioblastoma multiforme,Meningioma,3
95,Most common cause of splenic rupture is -,Malaria,ITP,Thalassemia,Cirrhosis,0
96,Which of the following is abdominal angiitis,Giant cell arteritis,Takayasu arteritis,Kawasaki disease,Polyarteritis nodosa,1
97,Liver biopsy in malaria will show -,Microabscesses,Kupffer cell hyperplasia,Piecemeal necrosis,Non caseating granuloma,1
98,The genetic inheritance of hemophilia is,Sex linked dominant,Sex linked recessive,Autosomal dominant,Autosomal recessive,1
99,"A clinical study of adults with a body mass index of at least 30 is undertaken. About 8% of these individuals do not have hyperphagia but are found to have normal levels of leptin and ghrelin, along with a diminished basal metabolic rate. A mutation in which of the following genes is most likely present in these individuals?",OB-R,MC4R,OB,POMC,1
100,The primary causative factor for myofacial pain dysfunction syndrome of the TMJ is,Infratemporal space infection,Auriculotemporal neuritis,Muscular overextension and over contraction,Otitis media,2
101,Phyllodes tumor most commonly presents in -,2nd decade,3rd decade,4th decade,6th decade,3
102,Kuffer cells are found in:,Hea,Lungs,Liver,Spleen,2
103,The most likely cause of bihilar lymphadenopathy is,Histoplasmosis,Tuberculosis,Sarcoidosis,Aspergillosis,2
104,Crescents are derived from-,Epithelial cells + fibrin + macrophage,Mesangium + fibrin + macrophage,Tubule + mesangiaum + fibrin,Mesangiaum + fibrin,0
105,Cloudy swelling is:,Irreversible,Reversible,Physiological and never pathological,Late manifestation of cell injury,1
106,HLA associated with psoriasis:,HLA-B27,HLA-DR4,HLA-CW6,HLA-B8,2
107,HLA associated with rheumatoid ahritis is ?,HLA B27,HLA DR 4,HLABI9,HLA DR2,1
108,Which of the following conditions is most likely to lead to a dry tap during bone marrow aspiration ?,Acute lymphoblastic leukemia,Multiple myeloma,Megaloblastic anaemia,Idiopathic myelofibrosis,3
109,Which of the following is the most specific marker for Gastro Intestinal Stromal Tumor ?,Desmin,SMA,DOG - 1,S - 100,2
110,Thrombocytopenia due to increased platelet destruction is seen in -,Aplastic anemia,Cancer chemotherapy,Acute leukemia,Systemic lupus erythematosus,3
111,Which of the following is not a B cell neoplasm?,Hairy cell leukemia,Mycosis fungoides,Mantle cell lymphoma,Burkitt's lymphoma,1
112,The anticoagulant of choice for performing coagulation studies is -,EDTA,Heparin,Tri sodium citrate,Double oxalate,2
113,The mutation in cystic fibrosis is on which chromosome ?,7p,7q,5p,5q,1
114,Most common cause of primary hyperpara-thyroidism -,Hyperplasia,Solitary Adenoma,Carcinoma,Multiple adenomas,1
115,Primary structural defect of an organ is termed -,Malformation,Disruption,Deformation,Association,0
116,"A 56-year-old man with 14-year history of diabetes mellitus presents with poor vision, peripheral vascular disease, and mild proteinuria. Which of the following is best monitor of control of blood sugar levels in this patient?",Glycosylated hemoglobin,Islet cell autoantibody,Serum myoinositol,Serum sorbitol,0
117,Cell-cell desmosomal junctions are formed by,E-cadherins,Connexons,Catenin,Integrins,0
118,In glomerulus subendothelial deposits are seen jib -,Good pasture syndrome,IgA nephropathy,MPGN type I,MPGN type II,2
119,Study the following carefully -Read the pedigree. Inheritance pattern of the disease in the family is -,Autosomal recessive type,Autosomal dominant type,X-Linked dominant type,X-linked recessive type,3
120,Which of he following is not a cyclin dependent kinase (CDK) inhibitor?,p21,p27,p53,P57,2
121,"An 80-year-old woman presents with a 4-hour history of fever, shaking chills, and disorientation. Her blood pressure is 80/40 mm Hg. Physical examination shows diffuse purpura on her upper arms and chest. Blood cultures are positive for Gram-negative organism. Which of the following cytokines is primarily involved in the pathogenesis of direct vascular injury in this patient with septic shock?",Interferon-g,Transforming Growth Factor-b (TGFb),Platelet-derived growth factor,Tumor necrosis factor-a,3
122,Which of the following is the main stimulator of production of eosinophils?,IL-1,IL-5,IL-4,IL-6,1
123,Hereditary retinoblastomas develop the following chromosomal detection?,13ql4,13pl4,14pl3,14ql3,0
124,"Klinefelter syndrome is: MP 07, 10; Maharashtra 09; Gujarat 10; AFMC 12",45XO,46XY,45XY,47XXY,3
125,Patients with hemophilia A has bleeding disorder because of-,Lack of platelet aggregation,Lack of reaction accelerator during activation of factor X in coagulation cascade,Neutralization of antithrombin III,Release of Thromboxane A2,1
126,Elevated CA-125 are seen in -,Abdominal TB,Ca cervix,Endometriosis,Ovarian ca,3
127,Cytosolic cytochrome C plays an impoant function in,Apoptosis,Cell necrosis,Electron transpo chain,Cell division,0
128,Hyperacute rejection occurs within:?,12 hours,2 weeks,1 month,3 months,0
129,"Examination of a skin lesion demonstrates very abnormal squamous cells with a high nuclear/cytoplasmic ratio and clumped chromatin. These cells form nests within the epidermis that extend to the superficial surface of the epithelium. In some places, nests of these cells have central areas of abnormal keratin formation. The basement membrane is intact and no nests of cells are seen in the dermis. Which of the following terms best describes this lesion?",Carcinoma in situ,Dysplasia,Invasive carcinoma,Metaplasia,0
130,"A 15 year old male presents with hematuria. He has previous diagnoses of deafness and corneal dystrophy. Urinalysis shows 1 + proteins, no ketones, no glucose, 1+blood, and no leukocytes. A renal biopsy reveals tubular epithelial foam cells by light microscopy. By electron microscopy, the glomerular basement membrane shows areas of attenuation, with splitting and lamination of lamina dense in other thickened areas. The most probable diagnosis is -",Acute tubular necrosis,Bergers disease,Membranous glomerulonephritis,Alport syndrome,3
131,In thromboasthenia there is a defect in -,Platelet aggregation,Platelet adhesion,Decreased ADP release,Disordered platelet secretion,0
132,Thalassaemia major manifests in-,Childhood,Pubey,Adolescence,Middle age,0
133,Hypersegmented neu trop h ills are seen in?,Microcytic hypochronic anemia,Sideroblastic anemia,Megaloblastic anemia,Hemolytic anemia,2
134,Pleomorphic adenoma has?,Columnar cells enclosing lymphoid stroma,Exclusively myoepithelial cells,Epithelial cells in chondroid matrix,Nests of squamous cells & vacuolated cells containing mucin,2
135,"A 49-year-old woman has had a severe headache for 2 days. On physical examination, she is afebrile and normotensive. Funduscopic examination shows papilledema on the right. One day later, she has the right pupillary dilation and impaired ocular movement. She then becomes obtunded. Which of the following lesions best explains these findings?",Chronic subdural hematoma,Frontal lobe abscess,Glioblastoma with edema,Hydrocephalus ex vacuo,2
136,A 60-year-old woman has a history of being treated for endometrial cancer with surgery and radiation 5 years ago. She now presents with a large necrotic tumor that follows the course of the sciatic nerve. Which of the following is the most likely diagnosis,Malignant peripheral nerve sheath tumor,Solitary neurofibroma,Neurofibromatosis type 2,Schwannoma,0
137,Reid index is useful in-,Glomerulonephritis,Chronic bronchitis,Cirrhosis,MI,1
138,"Paraneoplastic syndrome Hypercalcemia of malignancy, is produced due to ectopic production of which hormone by lymphomas ?",PTHrP,"1,25 dihydroxyvitamin D",PGE2,Parathormone,1
139,Autoimmunity is caused,The pressure of forbidden clones,Expression of cryptic antigens,Negative selection of T-cells in the thymus,Inappropriate expression of the MHC proteins,2
140,"Dr. Jones prescribes albuterol sulfate (Proventil) for a patient with newly diagnose asthma. When teaching the patient about this drug, the nurse should explain that it may cause:",Nasal congestion,Nervousness,Lethargy,Hyperkalemia,1
141,Which of the following is not a large vessel vasculitiis ?,Takayasu aeritis,Cogan syndrome,Chrug strauss syndrome,Giant cell aeritis,2
142,Given below is the histopathology of liver biopsy of a patient with hemochromatosis. Which of the following special stain has been used?,Von Kossa stain,Alcian blue stain,Perls' Prussian blue stain,Crystal violet stain,2
143,Wound contraction is mediated by?,Epithelial cell,Myofibroblasts,Collagen,Elastin,1
144,A pt of BPD on lithilhium for 6months after fasting for a day presents with seizure coarse tremors confusion and weakness of limbs Whats the most accurate to diagnosis her condition,Serum Electrolyte,s.Lithium,S .creatinine,ECG,1
145,Tumarkin's crisis is said to be a variant of,Glue ear,Meniere's disease,CSOM,Otosclerosis,1
146,Which component of HBV causes glomerulonephritis,Hbe Ag,HBc Ag,Hbs Ag,Anti HBs Ag antibody,2
147,"Discoloration of the skin, mucosa and nails is sideeffect of",Zidovudine,Lamivudine,Stavudine,Enfuviide,0
148,Not seen in SLE affected kidney?,Lipoid nephrosis,Focal Glomerulonephritis,Diffuse Glomerulonephritis,Membranous Glomerulonephritis,0
149,Cancer suppressor gene is impoant in which malignancy -,Retinoblastoma,Malignant melanoma,Liver carcinoma,Lung cancer,0
150,Gingival biopsy is used for diagnosis of ?,Scurvy,Sarcoidosis,Amyloidosis,SLE,2
151,Which of the following is the most common cause for fulminant hepatitis,Hepatitis A,Hepatitis B,Hepatitis C,Hepatitis D,3
152,Reactive oxygen free radical in lysosome is released by,NADPH oxidase,Superoxide dismutase,Peroxidase,Myeloperoxidase,0
153,Nearly 20% of normal tensile strength of tissue at the site of wound is gained after: September 2008,1 week of wound healing,2 weeks of wound healing,3 weeks of wound healing,4 weeks of wound healing,2
154,The most impoant determinant of prognosis of a patients with Wilms tumor is:,Stage of disease,Histology,Loss of chromosome 1p,Age of presentation,1
155,"A 23-year-old woman has noticed that she develops a skin rash if she spends prolonged periods outdoors. She has a malar skin rash on physical examination. Laboratory studies include a positive ANA test result with a titer of 1 :1024 and a ""rim"" pattern. An anti-double-stranded DNA test result also is positive. The hemoglobin concentration is 12.1 g/dL, hematocrit is 35.5%, MCV is 89 mm3, platelet count is 109,000/mm3, and WBC count is 4500/mm3. Which of the following findings is most likely to be shown by a WBC differential count?",Basophilia,Eosinophilia,Monocytosis,Neutrophilia,2
156,Gene for Wilson's disease is located on chromonsome?,7,10,13,17,2
157,"In gram-negative septicemia, early findings before shock sets in is -","↑ Cardiac output,↑ Total peripheral resistance","↑ Cardiac output, ↓ Total peripheral resistance","↓Cardiac output, ↑ Total peripheral resistance","↓ Cardiac output, ↓ Total peripheral resistance",1
158,A man dies after 5 days of suffering a myocardial infarction. What will the hea biopsy show?,Liquifactive necrosis,Caseous necrosis,Coagulative necrosis,Fibrinoid necrosis,2
159,Cystic medial necrosis responsible for aoic dilatation and rupture is seen in,Syphilitic aneurysm,Takayasu aeritis,Atherosclerosis,Marfan syndrome,3
160,"Colonoscopy was done for a patient who was suffering from recurrent episodes of abdominal pain and low volume diarrhea since six months. Colonoscopy showed many areas of mucosal edema and ulceration and some areas appeared normal. Microscopy of biopsy specimen from an ulcerated ared  showed patchy acute and chronic inflammatory  infiltrate , crypt abscesses and non caseating granulomas . What could be the probable diagnosis ?",Crohns disease,Sarcoidosis,Ulcerative collitis,Amoebiasis,0
161,Ahus reaction is what type of hypersensitivity reaction -,Localized immune complex,Ag Ab reaction,Compliment mediated,Ab mediated,0
162,Which of the following increases the susceptibility to coronary aery disease -,Type V hyperlipoproteinaemia,Von willebrand's disease,Nephrotic syndrome,Systemic lupus erythematosus,2
163,Vasospasm is the cause of -,Stable angina,Unstable angina,Variant angina,Classical angina,2
164,Donath Landsteiner is seen in -,PNH,Waldenstrom's macroglobulinemia,Paroxysmal cold hemoglobinuria,Malaria,2
165,SYT-SSXI gene is associated with-,Liposarcoma,Rhabdomyosarcoma,Synol sarcoma,Ewings sarcoma,2
166,Neurofibromomatosis I is -,AD,AR,X linked recessive,X linked dominant,0
167,"A 40-year-old man presents with 5 days of productive cough and fever. Pseudomonas aeruginosa is isolated from a pulmonary abscess. The CBC shows an acute effect characterized by marked leukocytosis (50,000 WBC/mL), and the differential count reveals numerous immature cells (band forms). Which of the following terms best describes these hematologic findings?",Leukemoid reaction,Leukopenia,Myeloid metaplasia,Myeloproliferative disease,0
168,Gene for retinoblastoma is located on -,Chromosome 13,Chromosome 1,Chromosome 10,Chromosome 5,0
169,Which of the following group represents negative acute phase proteins,"Transferrin, albumin, transthyretin","Haptoglobulin, CRP, albumin","Haptoglobulin, ceruloplasmin, fibrinogen","CRP, a-1 antitrypsin, fibrinogen",0
170,Which of the following is not a chromosome breakage disorder?,Bloom syndrome,Fan coni anemia,Ataxia telangiectasia,Duchenne muscular dystrophy,3
171,"In a specimen of kidney, fibrinoid necrosis is seen and onion peel appearance is also present. Most probable pathology is",Hyaline degeneration,Hyperplastic aeriosclerosis,Glomerulosclerosis,Fibrillary glomerulonephritis,0
172,Pathognomic features of acute rheumatic fever is:,Pericarditis,Myocarditis,Mitral stenosis,Aschoffs nodules,3
173,"A 66-year-old man has experienced fatigue, a 5-kg weight loss, night sweats, and abdominal discomfort for 10 months. On physical examination, he has marked splenomegaly; there is no lymphadenopathy. Laboratory studies show hemoglobin, 10.1 g/dL; hematocrit, 30.5%; MCV, 89 gm3; platelet count, 94,000/mm3; and WBC count, 14,750/mm3 with 55% segmented neutrophils, 9% bands, 20% lymphocytes, 8% monocytes, 4% metamyelocytes, 3% myelocytes, 1% eosinophils, and 2 nucleated RBCs per 100 WBCs. The peripheral blood smear also shows teardrop cells. The serum uric acid level is 12 mg/dL. A bone marrow biopsy specimen shows extensive marrow fibrosis and clusters of atypical megakaryocytes. Which of the following is most likely to account for the enlargement in this patient's spleen?",Extramedullary hematopoiesis,Granulomas with Histoplasma capsulatum,Hodgkin lymphoma,Metastatic adenocarcinoma,0
174,Commonest salivary gland tumour in children,Lymphoma,Pleomorphic adenoma,Adenoid cystic carcinoma,Mucoepidermoid carcinoma,3
175,Blood loss in class III hemorrhagic shock -,<750 ml,750-1500 ml,1500-2000 ml,>2000 ml,2
176,For which one of the following tumours Gastrin is a biochemical marker -,Medullary carcinoma of thyroid,Pancreatic neuroendocrine tumour,Pheochromocytoma,Gastrointestinal stromal tumor,1
177,Hepatic fibrosis is associated with which of the following,Medullary cystic kidney,ADPKD,ARPKD,Nephronopthosis,2
178,The thick mucous coat is -,Protective in ulcer patients,Not protective in ulcer patients,Easily destroyed by antacids,Commonly associated with carcinomatous change,0
179,Increased permeability in acute inflammation is due to,Histamine,IL-2,TGF-p,FGF,0
180,Most common location of SEGA (sub ependymal giant cell strocytoma),Foramen of monro,Foramen of luschka,Foramen of magendine,Roof of lateral ventricle,0
181,Crescent formation is seen in?,FSGS,MGN,RPGN,PSGN,2
182,Not a feature of multiple myeloma -,Hypercalcemia,Anemia,Hyperviscosity,Elevated alkaline phosphatase,3
183,Most sensitive indicator of iron deficiency anemia,Packed cell volume,Hemoglobin,Serum ferritin,Serum iron,2
184,BRCA 1 gene is located on chromosome,17p21,17q21,13p21,13q21,1
185,Which is pleuripotent stem cell ?,Embryonic stem cell,Tissue stem cell,Adult stem cell,Hematopoietic stem cell,0
186,The condition highlighted by the arrow in the occlusal radiograph in a 8 year old child could be due to:,Non-vital tooth,Impacted tooth,Ghost tooth,Mesiodens,3
187,The rate of bone mineralization is identical to the rate of osteoid production. The rate of newly synthesized osteoid is best estimated by:,Plain X-ray,Tetracycline labeling,Alizarin red stain,Von kossa for calcium,1
188,Which of the following is a metastasis suppressor gene in relation to prostate cancer,KAI - 1,NM 23,KISS,p53,0
189,Burkitt's lymphoma shows which translocation?,8:14,9:22,11:14,14:18,0
190,Toxic megacolon is seen as a complication in ?,Crohn's disease,Ulcerative colitis,Colonic diverticulosis,Miliary TB,1
